시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,휴무일,운영시간,주차 가능여부,입장(이용료)가격 정보,반려동물 동반 가능정보,반려동물 전용 정보,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,기본 정보_장소설명,애견 동반 추가 요금,최종작성일
가평 퓨어향기 독채펜션,반려동물업,반려동반여행,펜션,경기도,가평군,북면,적목리,166-2 번지,가화로,2670-23 번,37.97137565,127.454239,12400.0,경기도 가평군 북면 가화로 2670-23,경기도 가평군 북면 적목리 166-2,,http://hyanggi.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,N,해당없음,해당없음,해당없음,Y,Y,펜션,없음,2022-11-30
가평휴게소 반려견놀이터,반려동물업,반려동반여행,여행지,경기도,가평군,설악면,미사리,149-4 번지,미사리로540번길,51 번,37.70194035,127.546805,12462.0,경기도 가평군 설악면 미사리로540번길 51,경기도 가평군 설악면 미사리 149-4,031-584-1426,정보없음,연중무휴,매일 08:00~18:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
가평힐링타임펜션,반려동물업,반려동반여행,펜션,경기도,가평군,상면,행현리,375-1 번지,수목원로,181-26 번,37.76246255,127.364275,12448.0,경기도 가평군 상면 수목원로 181-26,경기도 가평군 상면 행현리 375-1,,http://www.healingtimeps.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,소형/중형,애견용품 개별준비,Y,Y,"애견 동반 펜션, 대형견 사전문의","10,000원",2022-11-30
가학산근린공원,반려동물업,반려동반여행,여행지,경기도,광명시,가학동,,7 번지,가학로85번길,134-23 번,37.42592096,126.865928,14341.0,경기도 광명시 가학로85번길 134-23,경기도 광명시 가학동 산 7,02-2680-6952,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,소형,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
가화쌈지숲공원,반려동물업,반려동반여행,여행지,충청북도,옥천군,옥천읍,금구리,223 번지,,,36.30557822,127.560966,29034.0,,충청북도 옥천군 옥천읍 금구리 223,043-730-3484,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
각리근린공원,반려동물업,반려동반여행,여행지,충청북도,청주시 청원구,오창읍,각리,639-3 번지,,,36.70914239,127.432127,28125.0,,충청북도 청주시 청원구 오창읍 각리 639-3,043-201-4414,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
각화제,반려동물업,반려동반여행,여행지,광주광역시,북구,각화동,,,,,35.18452351,126.939782,61165.0,,광주광역시 북구 각화동,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
간절곶,반려동물업,반려동반여행,여행지,울산광역시,울주군,서생면,대송리,28-1 번지,간절곶1길,39-2 번,35.35897306,129.360296,45015.0,울산광역시 울주군 서생면 간절곶1길 39-2,울산광역시 울주군 서생면 대송리 28-1,052-239-6313,https://www.lighthouse-museum.or.kr/,매주 월요일,"화~일 하절기 09:00~18:00, 동절기 09:00~17:00",Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
갈마봉근린공원,반려동물업,반려동반여행,여행지,대전광역시,유성구,지족동,,837 번지,지족로328번길,123 번,36.38402393,127.317422,34076.0,대전광역시 유성구 지족로328번길 123,대전광역시 유성구 지족동 837,042-611-2344,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022-11-30
갈매구릉산자락길,반려동물업,반려동반여행,여행지,경기도,구리시,갈매동,,392-20 번지,,,37.62707172,127.121305,11902.0,,경기도 구리시 갈매동 392-20,031-550-2047,https://www.guri.go.kr/culture/selectTourCntntsWebView.do?tourNo=161&key=1188&ctgry=5,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
감나무실공원,반려동물업,반려동반여행,여행지,충청북도,청주시 흥덕구,가경동,,1692 번지,2순환로1329번길,10 번,36.61860037,127.436758,28411.0,충청북도 청주시 흥덕구 2순환로1329번길 10,충청북도 청주시 흥덕구 가경동 1692,043-200-2815,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
감악산 출렁다리,반려동물업,반려동반여행,여행지,경기도,파주시,적성면,설마리,산 21-1 번지,설마천로,238 번,37.93841476,126.947316,10805.0,경기도 파주시 적성면 설마천로 238,경기도 파주시 적성면 설마리 산 21-1,031-950-1938,https://tour.paju.go.kr/user/tour/place/BD_tourPlaceInfoView.do?menuCode=4&areaSe=&cntntsSn=2061,연중무휴,매일 09:00~18:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
감천문화마을,반려동물업,반려동반여행,여행지,부산광역시,사하구,감천동,,10-2 번지,옥천로,130 번,35.09686103,129.01109,49368.0,부산광역시 사하구 옥천로 130,부산광역시 사하구 감천동 10-2,051-204-1444,https://m.gamcheon.or.kr/?doc=sub_01_02,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
갑천근린공원,반려동물업,반려동반여행,여행지,대전광역시,유성구,봉명동,,702 번지,,,36.35459963,127.350864,34175.0,,대전광역시 유성구 봉명동 702,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022-11-30
강경젓갈전시관,반려동물업,반려동반여행,여행지,충청남도,논산시,강경읍,황산리,198 번지,금백로,45 번,36.15755625,127.009806,32930.0,충청남도 논산시 강경읍 금백로 45,충청남도 논산시 강경읍 황산리 198,041-730-4648,정보없음,매주 일요일,월~토 10:00~17:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
강릉굴산사지당간지주,반려동물업,반려동반여행,여행지,강원도,강릉시,구정면,학산리,1181 번지,,,37.70727935,128.891822,25623.0,,강원도 강릉시 구정면 학산리 1181,033-640-5581,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
강릉대관령전망대,반려동물업,반려동반여행,여행지,강원도,강릉시,성산면,보광리,151 번지,영동고속도로,232 번,37.75734947,128.806638,25442.0,강원도 강릉시 성산면 영동고속도로 232,강원도 강릉시 성산면 보광리 151,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
강서 한강공원,반려동물업,반려동반여행,여행지,서울특별시,강서구,방화동,,47 번지,양천로27길,279-23 번,37.58604147,126.817145,7518.0,서울특별시 강서구 양천로27길 279-23,서울특별시 강서구 방화동 47,02-3780-0621,https://hangang.seoul.go.kr/archives/46788,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
강아지숲 반려견 테마파크,반려동물업,반려동반여행,여행지,강원도,춘천시,남산면,광판리,1193 번지,충효로,437 번,37.73643502,127.66202,24466.0,강원도 춘천시 남산면 충효로 437,강원도 춘천시 남산면 광판리 1193,033-913-1400,http://www.dforest.co.kr/index.html,매주 월요일,화~일 10:00~18:00,Y,17000원,Y,해당없음,모두 가능,"맹견, 공격성 있는 경우 입장 제한",Y,Y,"애견카페, 운동장","8,000원",2022-11-30
강이네하우스,반려동물업,반려동반여행,펜션,강원도,양양군,서면,상평리,437 번지,상평1길,17-2 번,38.06692416,128.583355,25035.0,강원도 양양군 서면 상평1길 17-2,강원도 양양군 서면 상평리 437,0507-1314-2453,https://kang2nehouse.modoo.at/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,소형/중형,"입질, 공격성 있는 경우 입장 제한",Y,Y,"애견 동반 펜션, 사전문의 필수","20,000원",2022-11-30
강주해바라기마을,반려동물업,반려동반여행,여행지,경상남도,함안군,법수면,강주리,486-3 번지,강주4길,37 번,35.32130962,128.333096,52059.0,경상남도 함안군 법수면 강주4길 37,경상남도 함안군 법수면 강주리 486-3,055-583-5387,https://www.haman.go.kr/,연중무휴,매일 08:00~19:00,Y,3000원,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022-11-30
강천섬유원지,반려동물업,반려동반여행,여행지,경기도,여주시,강천면,강천리,645 번지,강천리길,88 번,37.23474348,127.707936,12664.0,경기도 여주시 강천면 강천리길 88,경기도 여주시 강천면 강천리 645,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
강촌꿈에그린,반려동물업,반려동반여행,펜션,강원도,춘천시,남산면,창촌리,333-4 번지,보매기1길,61-56 번,37.78745102,127.640485,24465.0,강원도 춘천시 남산면 보매기1길 61-56,강원도 춘천시 남산면 창촌리 333-4,,http://www.kcgreen.co.kr/,정보없음,정보없음,Y,변동,N,해당없음,해당없음,해당없음,Y,Y,펜션,없음,2022-11-30
강촌레일파크,반려동물업,반려동반여행,여행지,강원도,춘천시,남산면,서천리,226-6 번지,서백길,57 번,37.84274539,127.550947,24464.0,강원도 춘천시 남산면 서백길 57,강원도 춘천시 남산면 서천리 226-6,033-245-1002,http://www.railpark.co.kr/,연중무휴,"매일 하절기 09:00~17:00, 동절기 09:00~15:30",Y,변동,Y,해당없음,소형,목줄,N,Y,관광지,없음,2022-11-30
강화 고벵이 오션뷰 수영장 애견동반 펜션,반려동물업,반려동반여행,펜션,인천광역시,강화군,화도면,장화리,285-7 번지,해안남로,2506-16 번,37.6273168,126.37992,23061.0,인천광역시 강화군 화도면 해안남로 2506-16,인천광역시 강화군 화도면 장화리 285-7,0507-1494-1338,http://www.xn--299a731a0odzyhu2q.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,5kg 미만,객실당 최대 3마리,Y,Y,애견 동반 펜션,"30,000원",2022-11-30
강화 로만티카애견리조트,반려동물업,반려동반여행,펜션,인천광역시,강화군,화도면,흥왕리,917 번지,해안남로,1986 번,37.60418699,126.411654,23062.0,인천광역시 강화군 화도면 해안남로 1986,인천광역시 강화군 화도면 흥왕리 917,0507-1351-4569,http://www.romantica2010.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 미만,객실당 최대 5마리,Y,Y,애견 동반 펜션,"10,000원",2022-11-30
강화 로맨틱큐브펜션,반려동물업,반려동반여행,펜션,인천광역시,강화군,길상면,선두리,965-21 번지,해안남로,664-11 번,37.60244201,126.491252,23051.0,인천광역시 강화군 길상면 해안남로 664-11,인천광역시 강화군 길상면 선두리 965-21,,http://www.romanticcube.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 미만,객실당 최대 3마리,Y,Y,애견 동반 펜션,"20,000원",2022-11-30
강화 마니산스토리,반려동물업,반려동반여행,펜션,인천광역시,강화군,화도면,여차리,645-1 번지,해안남로2220번길,30 번,37.6096682,126.396051,23061.0,인천광역시 강화군 화도면 해안남로2220번길 30,인천광역시 강화군 화도면 여차리 645-1,,https://manisanstorys.modoo.at/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,8kg 미만,객실당 최대 3마리,Y,Y,애견 동반 펜션,"10,000원",2022-11-30
강화 아우라 독채펜션,반려동물업,반려동반여행,펜션,인천광역시,강화군,화도면,여차리,415 번지,해안남로,2166-32 번,37.60577455,126.40127,23061.0,인천광역시 강화군 화도면 해안남로 2166-32,인천광역시 강화군 화도면 여차리 415,,http://xn--oi2b00q97cvubvy6a.kr/,연중무휴,매일 14:00~11:00,Y,변동,Y,해당없음,10kg 미만,"객실당 최대 2마리, 애견용품 개별준비",Y,Y,애견 동반 펜션,"20,000원",2022-11-30
강화 어나더153 애견펜션,반려동물업,반려동반여행,펜션,인천광역시,강화군,화도면,동막리,211-13 번지,해안남로,1669-12 번,37.5944154,126.437672,23062.0,인천광역시 강화군 화도면 해안남로 1669-12,인천광역시 강화군 화도면 동막리 211-13,0507-1322-1530,https://www.another153.net/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,5kg 미만,제한사항 없음,Y,Y,애견 동반 펜션,"10,000원",2022-11-30
강화 제임스펜션,반려동물업,반려동반여행,펜션,인천광역시,강화군,내가면,고천리,830-5 번지,강화서로227번길,51 번,37.71753294,126.384849,23018.0,인천광역시 강화군 내가면 강화서로227번길 51,인천광역시 강화군 내가면 고천리 830-5,,http://jmspension.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,5kg 이하,객실당 최대 2마리,Y,Y,애견 동반 펜션,"10,000원",2022-11-30
강화 터 애견펜션,반려동물업,반려동반여행,펜션,인천광역시,강화군,화도면,여차리,933 번지,해안남로,2297-26 번,37.61126367,126.384841,23061.0,인천광역시 강화군 화도면 해안남로 2297-26,인천광역시 강화군 화도면 여차리 933,,http://teopension.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,7kg 미만,"객실당 최대 3마리, 13kg 이상 대형견 입실 불가",Y,Y,애견 동반 펜션,"20,000원",2022-11-30
강화 팽나무 펜션,반려동물업,반려동반여행,펜션,인천광역시,강화군,화도면,장화리,800 번지,동녘말길,41-4 번,37.6174018,126.388439,23061.0,인천광역시 강화군 화도면 동녘말길 41-4,인천광역시 강화군 화도면 장화리 800,050-5765-0603,http://paengnamu.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,5kg 이하,"객실당 최대 2마리, 애견용품 개별준비",Y,Y,애견 동반 펜션,"10,000원",2022-11-30
강화 해마루 애견동반 펜션,반려동물업,반려동반여행,펜션,인천광역시,강화군,화도면,여차리,910 번지,해안남로,2289 번,37.60908898,126.386917,23061.0,인천광역시 강화군 화도면 해안남로 2289,인천광역시 강화군 화도면 여차리 910,,https://xn--2s2b1pr5pnoum9b.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,15kg 미만,객실당 최대 2마리,Y,Y,애견 동반 펜션,"20,000원",2022-11-30
강화 향기정원 애견동반펜션,반려동물업,반려동반여행,펜션,인천광역시,강화군,화도면,여차리,473 번지,해안남로,2166-39 번,37.60696815,126.400736,23061.0,인천광역시 강화군 화도면 해안남로 2166-39,인천광역시 강화군 화도면 여차리 473,,https://aromagarden.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,8kg 미만,객실당 최대 2마리,Y,Y,애견 동반 펜션,"20,000원",2022-11-30
강화도바다네스파펜션,반려동물업,반려동반여행,펜션,인천광역시,강화군,길상면,선두리,890-15 번지,해안남로,789-17 번,37.60624479,126.479886,23051.0,인천광역시 강화군 길상면 해안남로 789-17,인천광역시 강화군 길상면 선두리 890-15,050-5356-9622,http://badane.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,5kg 이하,"객실당 최대 1마리, 애견용품 개인준비 필수",Y,Y,"애견 동반 펜션, 사전문의 필수","15,000원",2022-11-30
강화돌담캠핑 글램핑,반려동물업,반려동반여행,펜션,인천광역시,강화군,삼산면,석모리,111-23 번지,삼산북로,397-1 번,37.70120264,126.328233,23005.0,인천광역시 강화군 삼산면 삼산북로 397-1,인천광역시 강화군 삼산면 석모리 111-23,0507-1382-5373,http://xn--o39aw5krsar7ax30fxni.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,16kg 미만,객실당 최대 5마리,Y,Y,애견 동반 펜션,"10,000원",2022-11-30
개가사는그집 펜션,반려동물업,반려동반여행,펜션,경기도,가평군,가평읍,복장리,253-4 번지,복장포길,85 번,37.73923783,127.50469,12430.0,경기도 가평군 가평읍 복장포길 85,경기도 가평군 가평읍 복장리 253-4,0507-1410-1734,http://www.gaghouse.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,"애견 동반 펜션, 카페, 수영장, 사전문의 필수","10,000원",2022-11-30
개들의수다,반려동물업,반려동반여행,펜션,경기도,김포시,고촌읍,신곡리,394-1 번지,은행영사정로51번길,42 번,37.60457184,126.776563,10124.0,경기도 김포시 고촌읍 은행영사정로51번길 42,경기도 김포시 고촌읍 신곡리 394-1,031-989-4518,https://www.instagram.com/dog_chatter/,매주 목요일,"월~금 11:00~19:00, 토~일 10:00~19:00",Y,변동,Y,해당없음,소형/중형,제한사항 없음,Y,Y,"애견 동반 펜션, 애견 카페, 노키즈존, 사전문의 필수",없음,2022-11-30
개리비안베이,반려동물업,반려동반여행,펜션,충청남도,태안군,소원면,법산리,72 번지,법산길,584-40 번,36.75522415,126.211853,32119.0,충청남도 태안군 소원면 법산길 584-40,충청남도 태안군 소원면 법산리 72,0507-1330-8189,http://garibbeanbay.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 미만,"입질, 공격성 심한 경우, 맹견 입실 불가, 객실당 최대 4마리",Y,Y,애견 동반 펜션,"10,000원",2022-11-30
개심사,반려동물업,반려동반여행,여행지,충청남도,서산시,운산면,신창리,1 번지,개심사로,321-86 번,36.74690048,126.589969,31949.0,충청남도 서산시 운산면 개심사로 321-86,충청남도 서산시 운산면 신창리 1,041-688-2256,https://gaesimsa.modoo.at/,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022-11-30
개울가 오토 캠핑장,반려동물업,반려동반여행,펜션,경기도,가평군,설악면,가일리,185-3 번지,유명로,654-58 번,37.60300317,127.494925,12473.0,경기도 가평군 설악면 유명로 654-58,경기도 가평군 설악면 가일리 185-3,031-584-7958,http://www.gaewoolga.co.kr/,연중무휴,매일 13:00~11:00,Y,변동,N,해당없음,해당없음,해당없음,Y,Y,펜션,없음,2022-11-30
개인공간,반려동물업,반려동반여행,펜션,경상북도,경주시,천북면,신당리,1115-9 번지,산업로,4694-23 번,35.89387536,129.240686,38041.0,경상북도 경주시 천북면 산업로 4694-23,경상북도 경주시 천북면 신당리 1115-9,,https://blog.naver.com/rlatpwls2045,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,모두 가능,"목줄 필수, 맹견 입장 불가",Y,Y,"애견 동반 펜션, 사전문의 필수",없음,2022-11-30
개팔자상팔자펜션,반려동물업,반려동반여행,펜션,강원도,홍천군,서면,굴업리,125 번지,한서로,2278-9 번,37.61005847,127.684292,25103.0,강원도 홍천군 서면 한서로 2278-9,강원도 홍천군 서면 굴업리 125,0507-1364-6599,http://개팔자상팔자.com,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,8kg 이하,"입질, 공격성 있는 경우 입장 제한",Y,Y,"애견 동반 펜션, 애견수영장, 사전문의 필수, 추가인원 15,000원","10,000원",2022-11-30
개화예술공원,반려동물업,반려동반여행,여행지,충청남도,보령시,성주면,개화리,177-2 번지,,,36.3133478,126.658555,33486.0,,충청남도 보령시 성주면 개화리 177-2,041-931-6789,정보없음,연중무휴,매일 09:00~18:00,Y,5000원,Y,해당없음,모두 가능,"케이지, 안기, 배변봉투",N,Y,공원,없음,2022-11-30
갯골생태공원,반려동물업,반려동반여행,여행지,경기도,시흥시,장곡동,,724-32 번지,동서로,287 번,37.38979099,126.781255,14971.0,경기도 시흥시 동서로 287,경기도 시흥시 장곡동 724-32,031-488-6900,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
거북선공원,반려동물업,반려동반여행,여행지,전라남도,여수시,학동,,162 번지,거북선공원2길,10 번,34.76059056,127.666721,59676.0,전라남도 여수시 거북선공원2길 10,전라남도 여수시 학동 162,061-659-4627,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
거제 도그펜션,반려동물업,반려동반여행,펜션,경상남도,거제시,일운면,망치리,9-42 번지,북병산로,475-9 번,34.81788763,128.675148,53329.0,경상남도 거제시 일운면 북병산로 475-9,경상남도 거제시 일운면 망치리 9-42,,http://dogpension.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,7kg 미만,제한사항 없음,Y,Y,"애견 동반 펜션, 애견수영장, 운동장","20,000원",2022-11-30
거제 블루캐슬 애견펜션,반려동물업,반려동반여행,펜션,경상남도,거제시,일운면,망치리,759 번지,거제대로,1477 번,34.79099186,128.665195,53329.0,경상남도 거제시 일운면 거제대로 1477,경상남도 거제시 일운면 망치리 759,0507-1362-2918,http://xn--939a6k862a6oin5e2eo72a8jv8rd.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,모두 가능,목줄,Y,Y,"애견 동반 펜션, 사전문의 필수","10,000원",2022-11-30
거제봄날펜션,반려동물업,반려동반여행,펜션,경상남도,거제시,동부면,오송리,700-23 번지,가배오송길,139 번,34.79255804,128.581313,53330.0,경상남도 거제시 동부면 가배오송길 139,경상남도 거제시 동부면 오송리 700-23,,http://bomnalpension.modoo.at/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 이하,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수",없음,2022-11-30
거제해돋이 애견펜션,반려동물업,반려동반여행,펜션,경상남도,거제시,장목면,송진포리,198-13 번지,신촌길,13-11 번,34.99896429,128.692509,53200.0,경상남도 거제시 장목면 신촌길 13-11,경상남도 거제시 장목면 송진포리 198-13,0507-1467-2038,http://soos5150.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,10kg 미만,"입질, 공격성 있는 경우 입장 제한, 최대 3마리",Y,Y,"애견 동반 펜션, 사전문의 필수","20,000원",2022-11-30
게스트하우스 하하네,반려동물업,반려동반여행,펜션,서울특별시,마포구,신수동,,308-1 번지,토정로17길,31-8 번,37.54624807,126.935585,4088.0,서울특별시 마포구 토정로17길 31-8,서울특별시 마포구 신수동 308-1,0507-1344-4069,정보없음,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,애견 동반 펜션,"30,000원",2022-11-30
게스트하우스파티유쾌한환이네,반려동물업,반려동반여행,펜션,제주특별자치도,서귀포시,성산읍,온평리,595-6 번지,일주동로,4675 번,33.41275161,126.899846,63633.0,제주특별자치도 서귀포시 성산읍 일주동로 4675,제주특별자치도 서귀포시 성산읍 온평리 595-6,,정보없음,연중무휴,매일 17:00~10:00,Y,변동,Y,해당없음,소형,제한사항 없음,Y,Y,애견 동반 펜션,변동,2022-11-30
경산공원,반려동물업,반려동반여행,여행지,충청북도,청주시 흥덕구,가경동,,1512 번지,,,36.62480631,127.439642,28378.0,,충청북도 청주시 흥덕구 가경동 1512,043-201-4433,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022-11-30
